# mean, standard deviation
2.022590622440000061e+03,4.733892192609216565e+00
2.022921409162999680e+03,4.416074391876194660e+00
2.023174366118499847e+03,4.089651195592082011e+00
2.023385838752499694e+03,3.877344938831800647e+00
2.023499085380499992e+03,3.827305085756837588e+00
2.023658895027499966e+03,3.715165816950193545e+00
2.023862385938499983e+03,3.526564496714595709e+00
2.023993416664500273e+03,3.440918274010755784e+00
2.024207644889000221e+03,3.219246924080421124e+00
2.024375793664000184e+03,3.123942271326352493e+00
2.024528098576499815e+03,3.024717592573764602e+00
2.024701097575499716e+03,2.915784179800764875e+00
2.024912424752000561e+03,2.710810941108854788e+00
2.025010819972500030e+03,2.612310936310536125e+00
2.025129280403499706e+03,2.559435153488607728e+00
2.025258500839999670e+03,2.521582467763424429e+00
2.025373260122999909e+03,2.549999519023009587e+00
2.025464999999999691e+03,2.547798068921485637e+00
2.025597501806000309e+03,2.491711347907726193e+00
2.025678448365000349e+03,2.498872234655610924e+00
2.025782881284999803e+03,2.490285100950018649e+00
2.025898700480000116e+03,2.515916136577757811e+00
2.026064936264499920e+03,2.404216685034243017e+00
2.026167868163999856e+03,2.382867692426483774e+00
2.026285614207000208e+03,2.386064165267901327e+00
2.026364720977999923e+03,2.421296222310306501e+00
2.026477195284999880e+03,2.438264201736002335e+00
2.026585000000000264e+03,2.435831480213661138e+00
2.026712501806000319e+03,2.410077055596354434e+00
2.026838487284999701e+03,2.449219308291788355e+00
2.027020018800999878e+03,2.528987693687559712e+00
2.027178612608000094e+03,2.501210074829988361e+00
2.027356246574999659e+03,2.622300792402416203e+00
2.027503740384499906e+03,2.590266528761197229e+00
2.027624584390499876e+03,2.647096931668810438e+00
2.027857575757000404e+03,2.788910684204831014e+00
2.028204360870500068e+03,3.125310782572729540e+00
2.028584950250000020e+03,3.426932979313596750e+00
2.028720563588999994e+03,3.412840126103853233e+00
2.028890339281999786e+03,3.442406180895662970e+00
2.029074365381499547e+03,3.497644515943651555e+00
2.029388647118999870e+03,3.701423523338632116e+00
2.029756786115000068e+03,3.823562106996398757e+00
2.029860205619500221e+03,3.839176074849854015e+00
2.030000000000000000e+03,3.843826218756520863e+00
2.030179335804499715e+03,3.823782782764464816e+00
2.030280017067999552e+03,3.794171481661675394e+00
2.030475719089999984e+03,3.788591108554002496e+00
2.030562901632000376e+03,3.774586298930451722e+00
2.030690274924999812e+03,3.784372778227757639e+00
2.030845110160500099e+03,3.790665236447772646e+00
2.031164360870499877e+03,3.868740251594210644e+00
2.031457060884499469e+03,3.913239665814898682e+00
2.031570017067999970e+03,3.934360582968317033e+00
2.031736304315500092e+03,3.933461733054828269e+00
2.031819365381500120e+03,3.911997726926206731e+00
2.031931889153000157e+03,3.858177399393648788e+00
2.032042478096499963e+03,3.865462713380279691e+00
2.032192593470000020e+03,3.931324042996950929e+00
2.032318999714500478e+03,3.944443242048895737e+00
2.032484245031999990e+03,3.905571140234245675e+00
2.032573260122999955e+03,3.883626111743709863e+00
2.032731541416499795e+03,3.880107354815406584e+00
2.032883921927500069e+03,3.888144966556582816e+00
2.033058426825500192e+03,3.909931903092707106e+00
2.033243098576499960e+03,3.854015221354208709e+00
2.033552210814500086e+03,3.817952002600123240e+00
2.033882593469999847e+03,3.717693209834036061e+00
2.033986312057499617e+03,3.738889935891541505e+00
2.034100180744499767e+03,3.737158180758992643e+00
2.034167254395499640e+03,3.743097939899404203e+00
2.034246567491999940e+03,3.733948965815147236e+00
2.034362478096499672e+03,3.763017887384163540e+00
2.034490095275999920e+03,3.771927233873987984e+00
2.034578426825499719e+03,3.772737724425346162e+00
2.034682314160999567e+03,3.753256618046668880e+00
2.034805000000000291e+03,3.718800209745078522e+00
2.034910806554999681e+03,3.703354247358164208e+00
2.035008426825500010e+03,3.707991756648365111e+00
2.035095274924999785e+03,3.706430929525235118e+00
2.035154425146999984e+03,3.713209901092220377e+00
2.035251339368999879e+03,3.705007740552427542e+00
2.035331088464999539e+03,3.706020506212160726e+00
2.035430263319999995e+03,3.677060071063721569e+00
2.035516304315500065e+03,3.632115166156868913e+00
2.035599436552000043e+03,3.595344192046396437e+00
2.035677960550000080e+03,3.591369928148550272e+00
2.035790353476499831e+03,3.542998553231037739e+00
2.035933023070499530e+03,3.506671588064342870e+00
2.036083690145499986e+03,3.488163820415359329e+00
2.036249395569999933e+03,3.366339387067961209e+00
2.036400000000000091e+03,3.373870181260695933e+00
2.036589935694999895e+03,3.282699125645780480e+00
2.036716494737999938e+03,3.280442588844071139e+00
2.036875263319999704e+03,3.268146993544044587e+00
2.037043551579999985e+03,3.116607832610523321e+00
2.037383299279500079e+03,2.762778154008212361e+00
2.037754783910000015e+03,2.350120736707537183e+00
2.037856434918000332e+03,2.337395481598168789e+00
2.037992635224999958e+03,2.312233345340648949e+00
2.038081992780499831e+03,2.322294436214930702e+00
2.038175017067999988e+03,2.340671426863465854e+00
2.038292124620000322e+03,2.324468954103865226e+00
2.038377475340500268e+03,2.307429285598373347e+00
2.038477898545000016e+03,2.348384047521080209e+00
2.038574838182999883e+03,2.338711875331615619e+00
2.038722635224999976e+03,2.377241177248355708e+00
2.038818138952000027e+03,2.365594860257746568e+00
2.038908789754999816e+03,2.377481011746174655e+00
2.039040209383999809e+03,2.355528551274977733e+00
2.039108551579999812e+03,2.382992101726189027e+00
2.039193723690000070e+03,2.383731908011032630e+00
2.039275141956999960e+03,2.397818901196243857e+00
2.039374053074999438e+03,2.379098631380821338e+00
2.039444504417999951e+03,2.370078511730282500e+00
2.039536186804999943e+03,2.385507356050248884e+00
2.039635000000000218e+03,2.392754688638185190e+00
2.039730353476500113e+03,2.415626906907835547e+00
2.039903914280499976e+03,2.388151961700363923e+00
2.040054777065499820e+03,2.352567802105941741e+00
2.040190000000000055e+03,2.364719856558082256e+00
2.040362635225000076e+03,2.382106646816075646e+00
2.040512451077000151e+03,2.368932049666387929e+00
2.040686062050499913e+03,2.400991643017510224e+00
2.040815209383999900e+03,2.375004514242344378e+00
2.040968635949999680e+03,2.427917809388035142e+00
2.041131550423999897e+03,2.511901413420226881e+00
2.041254931739999620e+03,2.488607763615874102e+00
2.041347773192499972e+03,2.517473116983508952e+00
2.041407437479999771e+03,2.520975873603751527e+00
2.041559972473000016e+03,2.590401928374885809e+00
2.041710308644999941e+03,2.613043134560353309e+00
2.041814999999999827e+03,2.607158414826385773e+00
2.041932773192500008e+03,2.592499037513719795e+00
2.042018715335000252e+03,2.601104679269778064e+00
2.042173689893000073e+03,2.654779943152286936e+00
2.042337943869999890e+03,2.646243550427696434e+00
2.042401162161999991e+03,2.654189165173605591e+00
2.042487635224999849e+03,2.649359803906415678e+00
2.042547392501499871e+03,2.663551884758479815e+00
2.042680084370000259e+03,2.702564822543125800e+00
2.042826088465000112e+03,2.743546409688577103e+00
2.042894999999999754e+03,2.744717653967330140e+00
2.042966881982500126e+03,2.738123351682861362e+00
2.043028574108999919e+03,2.725808705452168468e+00
2.043165038514999878e+03,2.742339162327417146e+00
2.043251926945499918e+03,2.746793423766187736e+00
2.043334999999999809e+03,2.740488095212221697e+00
2.043450166280500071e+03,2.720336387662812161e+00
2.043541852056499920e+03,2.657456431211708381e+00
2.043679587649999576e+03,2.664383106202593776e+00
2.043836618300499595e+03,2.566439733122145572e+00
2.043939715649999926e+03,2.473807922663255887e+00
2.044070000000000164e+03,2.438872690404280341e+00
2.044157183117499926e+03,2.364282754798742836e+00
2.044348223599999528e+03,2.410662694743813006e+00
2.044474999999999682e+03,2.415341590748628420e+00
2.044581400848499925e+03,2.375983314986425121e+00
2.044675266167499558e+03,2.386331597803017068e+00
2.044771088196499932e+03,2.424594996141633985e+00
2.044931225319999839e+03,2.426247669073559265e+00
2.045071926945499627e+03,2.426820972223790118e+00
2.045176400848499952e+03,2.475864435581803580e+00
2.045258647504999772e+03,2.497974089824514188e+00
2.045448148899999524e+03,2.592334259861707846e+00
2.045769587650000176e+03,2.884295574246499516e+00
2.046127635224999494e+03,3.170255972718131865e+00
2.046215141956999560e+03,3.208576805964574952e+00
2.046337635224999758e+03,3.266315376392028291e+00
2.046472392501499826e+03,3.301871061387032125e+00
2.046815000000000055e+03,3.475093523921314986e+00
2.047177592282499972e+03,3.654994020756745510e+00
2.047271400848500434e+03,3.662002204827859764e+00
2.047407492975000423e+03,3.691825643744917951e+00
2.047535824556500302e+03,3.749360514027788138e+00
2.047655000000000655e+03,3.780538982737799536e+00
2.047774210583000240e+03,3.796803255927472254e+00
2.047939999999999827e+03,3.821570357850311517e+00
2.048125000000000000e+03,3.816002489517018592e+00
2.048335000000000036e+03,3.857884783142186969e+00
2.048749587649999739e+03,3.934084209268762677e+00
2.049134999999999764e+03,3.943383699312016599e+00
2.049249931740000193e+03,3.961601327560472452e+00
2.049434774516999823e+03,3.972821100857535370e+00
2.049554999999999836e+03,4.044684783762531488e+00
2.049765084370000295e+03,4.028813236816474408e+00
2.049980941063500268e+03,4.014511950485935898e+00
2.050066400848500052e+03,3.998950412926992382e+00
2.050208886154500306e+03,4.054367278054930246e+00
2.050401864235000176e+03,4.094899381466594157e+00
2.050570038514999851e+03,4.038524318867593443e+00
2.050743657426000027e+03,4.062838126860783383e+00
2.050943743160000395e+03,4.118165872435093355e+00
2.051174999999999727e+03,4.236021128370354383e+00
2.051409468220000235e+03,4.282555211624226033e+00
2.051811877136499788e+03,4.267917740015405137e+00
2.052269999999999982e+03,4.202511154060167620e+00
2.052418360589999793e+03,4.272542604687116885e+00
2.052637254057000064e+03,4.365515715428274213e+00
2.052846651337499679e+03,4.469988594345053912e+00
2.053036877136500152e+03,4.489197907323028147e+00
2.053260941063500013e+03,4.546309802909874520e+00
2.053369617429999835e+03,4.574420763619841068e+00
2.053592479540000113e+03,4.655656756188534473e+00
2.053761588736500016e+03,4.723685217138204884e+00
2.053904999999999745e+03,4.783040351073819529e+00
2.054006618300500122e+03,4.794048046440306798e+00
2.054213743160000377e+03,4.863055612111498505e+00
2.054472808765000082e+03,4.930214198790547009e+00
2.054674468220000108e+03,5.019235665318963591e+00
2.054936464786499982e+03,5.001638293160136861e+00
2.055110198740000214e+03,5.050659601641568131e+00
2.055219617429999744e+03,5.085001556699487502e+00
2.055410662892499658e+03,5.108311112358607353e+00
2.055559999999999945e+03,5.141439487147579257e+00
2.055765000000000327e+03,5.160840532316415263e+00
2.055943547520999800e+03,5.154341788012339443e+00
2.056031400848499743e+03,5.135534761097793499e+00
2.056202628004500184e+03,5.129842621225184196e+00
2.056333347640000284e+03,5.061624896837243703e+00
2.056513149122500636e+03,5.069739343992762493e+00
2.056639992665000136e+03,5.012587696436566098e+00
2.056833743160000267e+03,4.939321383357154538e+00
2.057022263991999807e+03,4.915328132280453843e+00
2.057244587227999546e+03,4.770930686815190391e+00
2.057585026258999733e+03,4.427388141053424597e+00
2.057999692880000111e+03,3.941254078449379250e+00
2.058082766552500289e+03,3.933942083068078688e+00
2.058243033362499773e+03,3.868019173030792235e+00
2.058320119007999892e+03,3.855134707297917185e+00
2.058470000000000255e+03,3.834331754034855599e+00
2.058595242880000114e+03,3.817639750274256283e+00
2.058663149122499817e+03,3.775078249424444365e+00
2.058774568442999680e+03,3.733046141999686984e+00
2.058889328857499549e+03,3.657589420538795544e+00
2.059008069390499713e+03,3.617278632982376507e+00
2.059076874768999460e+03,3.611559357047848362e+00
2.059199999999999363e+03,3.540903839417239851e+00
2.059352729033000287e+03,3.455957215336899591e+00
2.059452000767999834e+03,3.410094000542780890e+00
2.059619920268000442e+03,3.310480989534089424e+00
2.059743433196500064e+03,3.245404670107355560e+00
2.059807055371999922e+03,3.243673897712189280e+00
2.059895408071499787e+03,3.233211771792894762e+00
2.059975431589999971e+03,3.147740894203004292e+00
2.060120000000000346e+03,3.160316439852169257e+00
2.060260086225499890e+03,3.093765540055476659e+00
2.060307712728500064e+03,3.109660327108001443e+00
2.060418611014500129e+03,3.018007654923208882e+00
2.060473240373500630e+03,3.000848822569828211e+00
2.060588018453499899e+03,2.985834685788267162e+00
2.060688330275499993e+03,2.950960621418455165e+00
2.060844859883000026e+03,2.841413853599532580e+00
2.060973996323499705e+03,2.695629635321086237e+00
2.061107966347999991e+03,2.594392984021029136e+00
2.061241826199499883e+03,2.497736772232785896e+00
2.061385517781999624e+03,2.361665623983157936e+00
2.061479235654499462e+03,2.344718506067083208e+00
2.061592513024000255e+03,2.245532039846235950e+00
2.061690684676500496e+03,2.190832475292202375e+00
2.061796487147000335e+03,2.153644132763760766e+00
2.061896737444500559e+03,2.115109907328109440e+00
2.061977777107000293e+03,2.082488636313626351e+00
2.062088160425500064e+03,2.016238950424858345e+00
2.062203335701499782e+03,1.990240169350379063e+00
2.062301356477999889e+03,1.952663794833546129e+00
2.062349749288499879e+03,1.960750860591353284e+00
2.062456028263500230e+03,1.919593102461024881e+00
2.062556893134999882e+03,1.838598100176396022e+00
2.062703929127000265e+03,1.878299492208173049e+00
2.062813426789999994e+03,1.838211170432899610e+00
2.062906685887000094e+03,1.811641534131614106e+00
2.062974158857999555e+03,1.808896740868372266e+00
2.063090600070499931e+03,1.795950565610731520e+00
2.063182681727500039e+03,1.857335641563869766e+00
2.063324913937000019e+03,1.765329159466096254e+00
2.063430075469000258e+03,1.731487277569190297e+00
2.063507524498500061e+03,1.759024358060448767e+00
2.063605240267499994e+03,1.795021810437279930e+00
2.063700201063999884e+03,1.828701437930454921e+00
2.063788098185500530e+03,1.828261913616450185e+00
2.063848873198500314e+03,1.819308723780271642e+00
2.063947310243999709e+03,1.809605508103765414e+00
2.064021375857999828e+03,1.811500345610962404e+00
2.064157156236500214e+03,1.862909993290158717e+00
2.064218426790000194e+03,1.874770926594644171e+00
2.064323128758500388e+03,1.898447112157608752e+00
2.064393401730999813e+03,1.929993184837087705e+00
2.064508944190999955e+03,1.971487603773912411e+00
2.064590985314500358e+03,1.984408637677478771e+00
2.064687996558500345e+03,2.025362685934942508e+00
2.064832425032499941e+03,2.099102415639703345e+00
2.064938718019499902e+03,2.172796947863752326e+00
2.065066629252999974e+03,2.233500237823569989e+00
2.065222663988000022e+03,2.294042494172008340e+00
2.065376429679500234e+03,2.384345928823477401e+00
2.065538619950500561e+03,2.460410870001347838e+00
2.065714999999999691e+03,2.593313517490731801e+00
2.066283910707000359e+03,3.400478454425803321e+00
2.066737679672000013e+03,3.761125938935387047e+00
2.067124123580000287e+03,4.225967126115432571e+00
2.067442785799500598e+03,4.536412486928013799e+00
2.067678906249499960e+03,4.695653387720662764e+00
2.068425000000000182e+03,5.171157994105407774e+00
2.068869972249500279e+03,5.467645745612346175e+00
2.069349595894000686e+03,5.799401662795794721e+00
2.069788588322000123e+03,6.089906030301393436e+00
2.070243806478999886e+03,6.557502677684937886e+00
2.070766620938500637e+03,7.086196537428915754e+00
2.071299875551500008e+03,7.564113064911291318e+00
2.071746220760999677e+03,7.938132943876375691e+00
2.072075903276000190e+03,8.161553620130797881e+00
2.072641532527500203e+03,8.544801568086054289e+00
2.073558910706999995e+03,8.784886335756688425e+00
2.074258445639499769e+03,9.030799934186170219e+00
2.074887781227500000e+03,9.323309380159578552e+00
2.075271612540500428e+03,9.395806173911392278e+00
2.075609474891999980e+03,9.601838794002031108e+00
2.075961237799999708e+03,9.684027832815225167e+00
2.076204496507000385e+03,9.749273872949617115e+00
2.076485206022999591e+03,9.819507131214379569e+00
2.076770858321499873e+03,9.848089795359603826e+00
2.077268718019499829e+03,1.002284192311621780e+01
2.077708175894999840e+03,1.014099829159452604e+01
2.078139987901499808e+03,1.017780764354137091e+01
2.078480499345499993e+03,1.023844291221471892e+01
2.078730544433500199e+03,1.027949381175823262e+01
2.079109222283500458e+03,1.039774840743160134e+01
2.079786375415999828e+03,1.006030839077949146e+01
2.080235706523500085e+03,9.832672196613605919e+00
2.080696113261999471e+03,9.755519725142940857e+00
